,gender,age,zodiac_sign,profession,junior_programmer_salary,senior_programmer_salary
65,Hombre,43,Tauro,Programador,71000.0,137000.0
66,Hombre,45,Sagitario,Profesor,79000.0,169000.0
67,Mujer,49,Tauro,Programador,24000.0,75000.0
68,Hombre,46,Capricornio,Ingeniero,67000.0,163000.0
69,Mujer,39,Tauro,Economista,37000.0,82000.0
70,Prefiero no decirlo,39,Acuario,Programador,24000.0,68000.0
71,Hombre,32,Virgo,Programador,86000.0,108000.0
72,Prefiero no decirlo,30,Sagitario,Ingeniero,27000.0,81000.0
73,Hombre,41,Escorpio,Programador,90000.0,105000.0
74,Hombre,48,Capricornio,Ingeniero,76000.0,129000.0
75,Mujer,48,Escorpio,Programador,33000.0,56000.0
76,Mujer,33,Escorpio,Profesor,16000.0,124000.0
77,Mujer,40,Virgo,Programador,31000.0,96000.0
78,Mujer,35,Aries,Matemático,27000.0,59000.0
79,Mujer,40,Escorpio,Programador,31000.0,64000.0
80,Mujer,38,Géminis,Profesor,22000.0,75000.0
81,Hombre,40,Cáncer,Estudiante,61000.0,119000.0
82,Mujer,37,Acuario,Ingeniero,23000.0,61000.0
83,Hombre,35,Capricornio,Ingeniero,96000.0,103000.0
84,Hombre,44,Virgo,Ingeniero,57000.0,113000.0
85,Mujer,37,Libra,Profesor,37000.0,63000.0
86,Hombre,38,Géminis,Físico,82000.0,105000.0
87,Mujer,39,Escorpio,Profesor,14000.0,60000.0
88,Hombre,33,Virgo,Ingeniero,83000.0,155000.0
89,Hombre,37,Géminis,Matemático,78000.0,121000.0
90,Mujer,36,Virgo,Matemático,15000.0,142000.0
91,Hombre,37,Géminis,Ingeniero,81000.0,152000.0
92,Mujer,40,Leo,Programador,29000.0,34000.0
93,Hombre,30,Géminis,Físico,98000.0,162000.0
94,Mujer,42,Libra,Programador,55000.0,76000.0
95,Mujer,37,Aries,Profesor,23000.0,46000.0
96,Hombre,42,Cáncer,Programador,70000.0,176000.0
97,Mujer,41,Escorpio,Ingeniero,14000.0,59000.0
98,Hombre,45,Géminis,Economista,83000.0,158000.0
99,Mujer,39,Acuario,Programador,30000.0,42000.0
100,Hombre,34,Sagitario,Economista,66000.0,129000.0
101,Mujer,44,Sagitario,Contador,34000.0,66000.0
102,Hombre,45,Géminis,Ingeniero,74000.0,127000.0
103,Otro,38,Tauro,Programador,30000.0,106000.0
104,Mujer,36,Picis,Estudiante,26000.0,82000.0
105,Hombre,43,Aries,Programador,64000.0,82000.0
106,Hombre,38,Capricornio,Contador,46000.0,133000.0
107,Hombre,44,Capricornio,Programador,61000.0,104000.0
108,Mujer,45,Tauro,Programador,47000.0,220000.0
109,Otro,40,Aries,Programador,27000.0,89000.0
110,Hombre,44,Sagitario,Ingeniero,92000.0,181000.0
111,Hombre,45,Virgo,Economista,63000.0,140000.0
112,Hombre,43,Capricornio,Ingeniero,63000.0,118000.0
113,Mujer,32,Libra,Programador,29000.0,51000.0
114,Hombre,39,Aries,Ingeniero,94000.0,136000.0
115,Hombre,38,Tauro,Ingeniero,59000.0,166000.0
116,Hombre,37,Aries,Estudiante,64000.0,125000.0
117,Hombre,33,Aries,Ingeniero,72000.0,133000.0
118,Hombre,35,Acuario,Matemático,94000.0,184000.0
119,Hombre,44,Virgo,Ingeniero,88000.0,178000.0
120,Hombre,41,Aries,Programador,63000.0,138000.0
121,Hombre,38,Sagitario,Programador,65000.0,86000.0
122,Otro,39,Géminis,Economista,41000.0,71000.0
123,Hombre,44,Sagitario,Profesor,64000.0,165000.0
124,Hombre,35,Sagitario,Ingeniero,72000.0,146000.0
125,Hombre,35,Libra,Físico,46000.0,189000.0
126,Mujer,46,Picis,Profesor,23000.0,69000.0
127,Mujer,38,Virgo,Profesor,19000.0,53000.0
128,Hombre,49,Acuario,Ingeniero,86000.0,134000.0
129,Mujer,47,Escorpio,Programador,31000.0,44000.0
130,Hombre,29,Leo,Programador,95000.0,105000.0
131,Hombre,27,Cáncer,Profesor,64000.0,149000.0
132,Mujer,33,Libra,Economista,38000.0,95000.0
133,Mujer,41,Tauro,Programador,28000.0,80000.0
134,Hombre,38,Virgo,Ingeniero,65000.0,134000.0
135,Hombre,34,Tauro,Ingeniero,64000.0,123000.0
136,Hombre,32,Acuario,Físico,82000.0,149000.0
137,Hombre,44,Leo,Contador,73000.0,138000.0
138,Hombre,41,Capricornio,Profesor,67000.0,145000.0
139,Hombre,39,Cáncer,Programador,64000.0,104000.0
140,Hombre,39,Capricornio,Programador,64000.0,162000.0
141,Hombre,37,Géminis,Programador,70000.0,121000.0
142,Hombre,49,Capricornio,Contador,92000.0,150000.0
143,Hombre,38,Picis,Estudiante,72000.0,154000.0
144,Hombre,44,Libra,Físico,93000.0,202000.0
145,Hombre,36,Géminis,Programador,60000.0,122000.0
146,Mujer,35,Géminis,Ingeniero,33000.0,59000.0
147,Hombre,38,Leo,Profesor,74000.0,144000.0
148,Hombre,38,Sagitario,Programador,81000.0,169000.0
149,Prefiero no decirlo,40,Capricornio,Programador,25000.0,72000.0
150,Mujer,44,Acuario,Profesor,25000.0,76000.0
151,Hombre,41,Acuario,Estudiante,87000.0,141000.0
152,Mujer,44,Acuario,Profesor,41000.0,71000.0
153,Hombre,47,Virgo,Ingeniero,61000.0,147000.0
154,Mujer,30,Aries,Profesor,18000.0,55000.0
155,Hombre,36,Picis,Ingeniero,68000.0,112000.0
156,Hombre,32,Cáncer,Ingeniero,59000.0,164000.0
157,Hombre,32,Géminis,Ingeniero,76000.0,126000.0
158,Hombre,34,Libra,Programador,49000.0,95000.0
159,Mujer,40,Picis,Estudiante,36000.0,119000.0
160,Hombre,41,Acuario,Programador,67000.0,104000.0
161,Hombre,44,Libra,Ingeniero,95000.0,107000.0
162,Hombre,40,Géminis,Programador,84000.0,129000.0
163,Hombre,39,Géminis,Programador,84000.0,152000.0
164,Prefiero no decirlo,41,Virgo,Contador,28000.0,79000.0
165,Hombre,44,Géminis,Programador,86000.0,114000.0
166,Mujer,32,Géminis,Profesor,32000.0,128000.0
167,Hombre,32,Escorpio,Programador,57000.0,110000.0
168,Hombre,39,Escorpio,Físico,86000.0,163000.0
169,Mujer,37,Cáncer,Ingeniero,26000.0,55000.0
170,Hombre,43,Virgo,Profesor,87000.0,131000.0
171,Mujer,32,Tauro,Maestro,16000.0,131000.0
172,Mujer,35,Virgo,Profesor,38000.0,134000.0
173,Mujer,45,Leo,Matemático,24000.0,86000.0
174,Hombre,47,Picis,Programador,52000.0,105000.0
175,Mujer,41,Virgo,Profesor,38000.0,100000.0
176,Mujer,46,Géminis,Programador,15000.0,71000.0
177,Hombre,43,Capricornio,Profesor,88000.0,127000.0
178,Hombre,42,Cáncer,Programador,57000.0,131000.0
179,Mujer,33,Cáncer,Profesor,24000.0,75000.0
180,Mujer,35,Tauro,Programador,18000.0,75000.0
181,Hombre,36,Capricornio,Programador,79000.0,130000.0
182,Hombre,35,Capricornio,Estudiante,55000.0,137000.0
183,Mujer,33,Virgo,Maestro,47000.0,60000.0
184,Hombre,32,Géminis,Ingeniero,74000.0,158000.0
185,Hombre,39,Escorpio,Programador,76000.0,143000.0
186,Hombre,43,Aries,Programador,75000.0,151000.0
187,Hombre,38,Capricornio,Matemático,75000.0,110000.0
188,Hombre,38,Aries,Ingeniero,65000.0,150000.0
189,Mujer,37,Capricornio,Profesor,22000.0,70000.0
190,Hombre,40,Cáncer,Físico,66000.0,161000.0
191,Mujer,38,Cáncer,Estudiante,35000.0,79000.0
192,Mujer,29,Escorpio,Economista,27000.0,79000.0
193,Hombre,52,Leo,Físico,71000.0,144000.0
194,Hombre,41,Libra,Profesor,83000.0,204000.0
195,Hombre,41,Géminis,Economista,59000.0,158000.0
196,Mujer,41,Aries,Físico,30000.0,91000.0
197,Mujer,42,Leo,Ingeniero,12000.0,40000.0
198,Mujer,40,Acuario,Ingeniero,29000.0,78000.0
199,Hombre,42,Libra,Ingeniero,79000.0,82000.0
200,Mujer,52,Libra,Maestro,16000.0,139000.0
201,Hombre,38,Géminis,Profesor,69000.0,162000.0
202,Hombre,39,Sagitario,Programador,71000.0,92000.0
203,Mujer,35,Capricornio,Economista,25000.0,68000.0
204,Mujer,36,Tauro,Programador,25000.0,56000.0
205,Mujer,46,Capricornio,Programador,29000.0,67000.0
206,Hombre,43,Escorpio,Ingeniero,78000.0,98000.0
207,Hombre,41,Sagitario,Programador,62000.0,165000.0
208,Hombre,39,Sagitario,Ingeniero,45000.0,113000.0
209,Hombre,40,Picis,Profesor,85000.0,218000.0
210,Prefiero no decirlo,37,Picis,Economista,37000.0,81000.0
211,Mujer,39,Aries,Programador,34000.0,42000.0
212,Hombre,42,Capricornio,Profesor,56000.0,175000.0
213,Mujer,36,Tauro,Ingeniero,14000.0,66000.0
214,Mujer,41,Picis,Programador,28000.0,67000.0
215,Hombre,33,Acuario,Estudiante,72000.0,87000.0
216,Mujer,34,Sagitario,Programador,39000.0,84000.0
217,Hombre,41,Géminis,Programador,75000.0,224000.0
218,Hombre,38,Aries,Programador,69000.0,102000.0
219,Hombre,43,Sagitario,Programador,120000.0,231000.0
220,Hombre,37,Acuario,Ingeniero,48000.0,245000.0
221,Hombre,46,Géminis,Ingeniero,80000.0,111000.0
222,Mujer,43,Capricornio,Matemático,28000.0,135000.0
223,Hombre,42,Sagitario,Programador,85000.0,84000.0
224,Mujer,27,Libra,Programador,42000.0,53000.0
225,Otro,43,Acuario,Físico,19000.0,140000.0
226,Hombre,37,Géminis,Matemático,83000.0,116000.0
227,Mujer,39,Sagitario,Programador,29000.0,68000.0
228,Hombre,34,Picis,Programador,79000.0,107000.0
229,Hombre,38,Sagitario,Profesor,77000.0,145000.0
230,Mujer,41,Libra,Programador,20000.0,33000.0
231,Mujer,44,Géminis,Economista,32000.0,77000.0
232,Hombre,29,Tauro,Profesor,46000.0,116000.0
233,Mujer,38,Aries,Profesor,20000.0,127000.0
234,Mujer,33,Virgo,Economista,38000.0,76000.0
235,Hombre,32,Aries,Profesor,77000.0,177000.0
236,Hombre,38,Acuario,Programador,78000.0,113000.0
237,Hombre,44,Picis,Profesor,90000.0,121000.0
238,Mujer,34,Virgo,Programador,28000.0,61000.0
239,Hombre,37,Picis,Profesor,94000.0,79000.0
240,Hombre,39,Escorpio,Economista,66000.0,170000.0
241,Mujer,29,Géminis,Profesor,18000.0,55000.0
242,Hombre,37,Capricornio,Contador,65000.0,109000.0
243,Mujer,33,Libra,Profesor,43000.0,94000.0
244,Hombre,38,Picis,Profesor,77000.0,108000.0
245,Hombre,45,Sagitario,Matemático,69000.0,181000.0
246,Hombre,40,Acuario,Programador,99000.0,137000.0
247,Mujer,48,Escorpio,Profesor,20000.0,40000.0
248,Mujer,34,Leo,Contador,21000.0,57000.0
249,Hombre,42,Géminis,Ingeniero,62000.0,101000.0
250,Hombre,41,Tauro,Programador,57000.0,164000.0
251,Hombre,37,Aries,Ingeniero,66000.0,136000.0
252,Hombre,46,Tauro,Ingeniero,79000.0,108000.0
253,Hombre,41,Capricornio,Programador,112000.0,99000.0
254,Hombre,32,Leo,Programador,97000.0,176000.0
255,Mujer,36,Virgo,Ingeniero,25000.0,140000.0
256,Hombre,40,Picis,Programador,84000.0,154000.0
257,Hombre,45,Leo,Físico,69000.0,141000.0
258,Otro,44,Leo,Ingeniero,34000.0,127000.0
259,Mujer,39,Libra,Ingeniero,39000.0,76000.0
260,Mujer,34,Acuario,Físico,31000.0,40000.0
261,Mujer,31,Acuario,Profesor,16000.0,70000.0
262,Mujer,37,Sagitario,Profesor,31000.0,53000.0
263,Hombre,38,Leo,Programador,73000.0,85000.0
264,Hombre,43,Sagitario,Profesor,100000.0,156000.0
265,Hombre,40,Aries,Estudiante,59000.0,180000.0
266,Mujer,46,Capricornio,Programador,31000.0,75000.0
267,Hombre,46,Sagitario,Ingeniero,74000.0,175000.0
268,Mujer,42,Leo,Programador,38000.0,55000.0
269,Hombre,43,Acuario,Estudiante,94000.0,150000.0
270,Prefiero no decirlo,46,Escorpio,Físico,34000.0,103000.0
271,Hombre,37,Virgo,Programador,93000.0,107000.0
272,Mujer,55,Acuario,Ingeniero,21000.0,170000.0
273,Otro,43,Escorpio,Ingeniero,48000.0,107000.0
274,Mujer,41,Cáncer,Programador,31000.0,50000.0
275,Hombre,42,Escorpio,Programador,83000.0,75000.0
276,Hombre,39,Aries,Ingeniero,65000.0,122000.0
277,Hombre,38,Tauro,Matemático,69000.0,97000.0
278,Hombre,37,Géminis,Contador,79000.0,127000.0
279,Hombre,41,Leo,Ingeniero,79000.0,155000.0
280,Mujer,35,Géminis,Estudiante,30000.0,87000.0
281,Hombre,35,Virgo,Contador,107000.0,103000.0
282,Hombre,39,Tauro,Físico,77000.0,69000.0
283,Mujer,40,Sagitario,Profesor,17000.0,107000.0
284,Mujer,35,Leo,Contador,32000.0,88000.0
285,Mujer,30,Sagitario,Ingeniero,25000.0,90000.0
286,Prefiero no decirlo,39,Escorpio,Programador,46000.0,90000.0
287,Hombre,36,Escorpio,Ingeniero,78000.0,140000.0
288,Hombre,42,Cáncer,Contador,69000.0,177000.0
289,Hombre,40,Aries,Profesor,96000.0,127000.0
290,Hombre,36,Leo,Programador,68000.0,94000.0
291,Mujer,37,Sagitario,Programador,22000.0,59000.0
292,Hombre,34,Sagitario,Matemático,87000.0,122000.0
293,Mujer,42,Virgo,Profesor,23000.0,93000.0
294,Hombre,33,Escorpio,Profesor,104000.0,101000.0
295,Mujer,41,Aries,Profesor,35000.0,49000.0
296,Mujer,39,Acuario,Programador,40000.0,56000.0
297,Hombre,36,Cáncer,Programador,78000.0,111000.0
298,Prefiero no decirlo,36,Sagitario,Ingeniero,25000.0,130000.0
299,Otro,41,Libra,Estudiante,30000.0,94000.0
300,Hombre,29,Aries,Matemático,84000.0,103000.0
301,Hombre,48,Tauro,Ingeniero,76000.0,139000.0
302,Mujer,36,Picis,Programador,32000.0,60000.0
303,Mujer,37,Géminis,Físico,33000.0,65000.0
304,Hombre,41,Sagitario,Físico,80000.0,163000.0
305,Mujer,38,Géminis,Programador,27000.0,67000.0
306,Mujer,49,Leo,Ingeniero,28000.0,155000.0
307,Mujer,40,Géminis,Profesor,22000.0,49000.0
308,Hombre,32,Aries,Ingeniero,76000.0,194000.0
309,Mujer,37,Sagitario,Programador,22000.0,106000.0
310,Hombre,44,Sagitario,Profesor,71000.0,122000.0
311,Mujer,33,Sagitario,Profesor,27000.0,92000.0
312,Mujer,36,Virgo,Profesor,17000.0,60000.0
313,Mujer,48,Cáncer,Ingeniero,31000.0,60000.0
314,Hombre,41,Sagitario,Programador,64000.0,207000.0
315,Mujer,31,Capricornio,Economista,33000.0,81000.0
316,Hombre,37,Virgo,Economista,67000.0,86000.0
317,Hombre,41,Virgo,Profesor,68000.0,168000.0
318,Hombre,48,Sagitario,Economista,82000.0,96000.0
319,Hombre,35,Picis,Programador,90000.0,133000.0
320,Mujer,40,Picis,Estudiante,33000.0,66000.0
321,Mujer,38,Escorpio,Maestro,26000.0,79000.0
322,Mujer,35,Virgo,Ingeniero,20000.0,78000.0
323,Mujer,33,Leo,Programador,22000.0,49000.0
324,Mujer,32,Cáncer,Programador,28000.0,56000.0
325,Hombre,28,Picis,Programador,80000.0,107000.0
326,Hombre,36,Acuario,Profesor,71000.0,116000.0
327,Hombre,39,Virgo,Profesor,72000.0,93000.0
328,Mujer,39,Escorpio,Profesor,27000.0,54000.0
329,Hombre,33,Géminis,Programador,77000.0,106000.0
330,Mujer,42,Libra,Ingeniero,22000.0,49000.0
331,Hombre,47,Sagitario,Contador,69000.0,169000.0
332,Mujer,36,Géminis,Ingeniero,24000.0,76000.0
333,Hombre,40,Sagitario,Ingeniero,71000.0,159000.0
334,Hombre,43,Leo,Físico,76000.0,121000.0
335,Hombre,49,Acuario,Ingeniero,78000.0,199000.0
336,Mujer,47,Picis,Profesor,36000.0,76000.0
337,Hombre,40,Capricornio,Economista,65000.0,126000.0
338,Hombre,36,Libra,Programador,60000.0,126000.0
339,Mujer,43,Leo,Programador,27000.0,86000.0
340,Hombre,42,Acuario,Programador,63000.0,196000.0
341,Mujer,34,Sagitario,Profesor,17000.0,67000.0
342,Hombre,37,Aries,Ingeniero,95000.0,150000.0
343,Mujer,30,Libra,Programador,20000.0,108000.0
344,Hombre,39,Virgo,Profesor,91000.0,193000.0
345,Mujer,37,Escorpio,Ingeniero,18000.0,97000.0
346,Hombre,40,Libra,Programador,57000.0,151000.0
347,Mujer,41,Leo,Contador,38000.0,34000.0
348,Hombre,42,Aries,Profesor,86000.0,212000.0
349,Otro,45,Virgo,Programador,36000.0,69000.0
350,Hombre,42,Tauro,Economista,67000.0,121000.0
351,Mujer,40,Acuario,Programador,26000.0,80000.0
352,Hombre,47,Cáncer,Programador,70000.0,100000.0
353,Hombre,39,Capricornio,Programador,68000.0,142000.0
354,Hombre,38,Capricornio,Matemático,52000.0,155000.0
355,Hombre,38,Aries,Economista,54000.0,106000.0
356,Mujer,37,Cáncer,Programador,39000.0,138000.0
357,Mujer,34,Picis,Programador,36000.0,71000.0
358,Hombre,44,Capricornio,Maestro,86000.0,143000.0
359,Otro,39,Virgo,Ingeniero,26000.0,67000.0
360,Mujer,48,Virgo,Programador,27000.0,98000.0
361,Hombre,45,Picis,Ingeniero,71000.0,151000.0
362,Hombre,47,Sagitario,Maestro,43000.0,94000.0
363,Hombre,34,Picis,Estudiante,68000.0,155000.0
364,Hombre,48,Picis,Ingeniero,78000.0,105000.0
365,Hombre,32,Géminis,Estudiante,75000.0,137000.0
366,Hombre,30,Virgo,Estudiante,56000.0,132000.0
367,Hombre,41,Libra,Profesor,72000.0,103000.0
368,Hombre,36,Libra,Matemático,70000.0,115000.0
369,Hombre,40,Sagitario,Maestro,77000.0,187000.0
370,Hombre,44,Tauro,Programador,69000.0,94000.0
371,Mujer,39,Leo,Ingeniero,37000.0,107000.0
372,Hombre,41,Capricornio,Físico,74000.0,191000.0
373,Hombre,40,Géminis,Ingeniero,59000.0,92000.0
374,Mujer,44,Libra,Ingeniero,11000.0,72000.0
375,Mujer,33,Capricornio,Ingeniero,25000.0,58000.0
376,Hombre,39,Sagitario,Programador,76000.0,230000.0
377,Otro,42,Escorpio,Profesor,30000.0,74000.0
378,Hombre,45,Cáncer,Ingeniero,86000.0,149000.0
379,Hombre,40,Escorpio,Ingeniero,81000.0,142000.0
380,Hombre,39,Capricornio,Programador,74000.0,120000.0
381,Hombre,40,Leo,Ingeniero,62000.0,146000.0
382,Otro,41,Géminis,Contador,36000.0,43000.0
383,Hombre,37,Libra,Programador,62000.0,104000.0
384,Hombre,35,Sagitario,Ingeniero,47000.0,126000.0
385,Hombre,37,Acuario,Programador,60000.0,98000.0
386,Hombre,41,Sagitario,Profesor,70000.0,150000.0
387,Mujer,36,Picis,Programador,36000.0,53000.0
388,Hombre,43,Tauro,Economista,72000.0,86000.0
389,Hombre,46,Cáncer,Programador,79000.0,111000.0
390,Mujer,37,Géminis,Matemático,27000.0,71000.0
391,Hombre,39,Géminis,Profesor,83000.0,123000.0
392,Mujer,37,Libra,Programador,27000.0,78000.0
393,Hombre,39,Picis,Ingeniero,54000.0,166000.0
394,Mujer,39,Cáncer,Programador,32000.0,44000.0
395,Otro,42,Cáncer,Ingeniero,30000.0,84000.0
396,Hombre,43,Acuario,Programador,52000.0,85000.0
397,Hombre,40,Sagitario,Ingeniero,80000.0,97000.0
398,Mujer,33,Libra,Físico,23000.0,45000.0
399,Mujer,41,Acuario,Profesor,16000.0,72000.0
400,Hombre,38,Aries,Matemático,62000.0,175000.0
401,Hombre,35,Aries,Ingeniero,97000.0,187000.0
402,Mujer,41,Sagitario,Economista,24000.0,84000.0
403,Hombre,39,Géminis,Ingeniero,58000.0,105000.0
404,Hombre,46,Aries,Programador,88000.0,168000.0
405,Hombre,41,Cáncer,Ingeniero,44000.0,176000.0
406,Mujer,37,Virgo,Programador,30000.0,96000.0
407,Mujer,47,Virgo,Economista,24000.0,88000.0
408,Hombre,45,Libra,Matemático,63000.0,112000.0
409,Mujer,37,Acuario,Contador,28000.0,151000.0
410,Mujer,39,Virgo,Matemático,22000.0,78000.0
411,Hombre,41,Tauro,Profesor,48000.0,173000.0
412,Mujer,41,Sagitario,Programador,24000.0,93000.0
413,Mujer,46,Tauro,Ingeniero,27000.0,75000.0
414,Mujer,41,Capricornio,Programador,34000.0,107000.0
415,Mujer,48,Libra,Programador,21000.0,52000.0
416,Mujer,37,Cáncer,Programador,25000.0,85000.0
417,Mujer,40,Libra,Programador,29000.0,71000.0
418,Mujer,44,Acuario,Ingeniero,28000.0,80000.0
419,Hombre,36,Escorpio,Ingeniero,85000.0,93000.0
420,Prefiero no decirlo,42,Leo,Programador,52000.0,92000.0
421,Prefiero no decirlo,48,Acuario,Programador,31000.0,78000.0
422,Hombre,43,Cáncer,Economista,106000.0,145000.0
423,Mujer,39,Cáncer,Programador,26000.0,74000.0
424,Hombre,37,Géminis,Economista,84000.0,125000.0
425,Hombre,32,Aries,Ingeniero,54000.0,146000.0
426,Prefiero no decirlo,39,Capricornio,Programador,27000.0,86000.0
427,Mujer,51,Tauro,Profesor,45000.0,46000.0
428,Hombre,40,Leo,Programador,90000.0,124000.0
429,Mujer,43,Acuario,Programador,43000.0,94000.0
430,Mujer,45,Acuario,Ingeniero,21000.0,75000.0
431,Hombre,41,Virgo,Programador,51000.0,158000.0
432,Mujer,37,Picis,Programador,58000.0,47000.0
433,Hombre,42,Picis,Maestro,69000.0,163000.0
434,Hombre,46,Sagitario,Programador,80000.0,168000.0
435,Hombre,38,Acuario,Profesor,78000.0,107000.0
436,Hombre,43,Acuario,Matemático,56000.0,162000.0
437,Mujer,42,Escorpio,Ingeniero,21000.0,84000.0
438,Hombre,39,Géminis,Maestro,71000.0,108000.0
439,Hombre,34,Aries,Profesor,80000.0,180000.0
440,Hombre,45,Libra,Ingeniero,63000.0,257000.0
441,Hombre,44,Cáncer,Programador,85000.0,93000.0
442,Hombre,40,Escorpio,Programador,71000.0,155000.0
443,Mujer,38,Picis,Economista,20000.0,46000.0
444,Mujer,32,Tauro,Ingeniero,22000.0,61000.0
445,Mujer,46,Sagitario,Estudiante,17000.0,57000.0
446,Hombre,32,Leo,Contador,108000.0,105000.0
447,Prefiero no decirlo,35,Libra,Economista,26000.0,139000.0
448,Prefiero no decirlo,48,Capricornio,Contador,18000.0,55000.0
449,Hombre,37,Acuario,Programador,68000.0,133000.0
450,Mujer,39,Virgo,Ingeniero,27000.0,73000.0
451,Prefiero no decirlo,34,Tauro,Matemático,25000.0,75000.0
452,Mujer,36,Virgo,Matemático,32000.0,107000.0
453,Mujer,43,Picis,Programador,40000.0,54000.0
454,Otro,41,Tauro,Economista,29000.0,80000.0
455,Mujer,51,Picis,Ingeniero,16000.0,103000.0
456,Hombre,36,Cáncer,Ingeniero,57000.0,148000.0
457,Mujer,40,Capricornio,Economista,29000.0,88000.0
458,Hombre,39,Aries,Programador,88000.0,132000.0
459,Hombre,35,Aries,Profesor,75000.0,109000.0
460,Mujer,41,Picis,Ingeniero,19000.0,78000.0
461,Hombre,39,Sagitario,Profesor,95000.0,148000.0
462,Hombre,33,Leo,Programador,69000.0,117000.0
463,Hombre,44,Picis,Programador,73000.0,136000.0
464,Mujer,36,Géminis,Contador,34000.0,49000.0
465,Mujer,38,Leo,Profesor,14000.0,83000.0
466,Hombre,35,Libra,Profesor,83000.0,116000.0
467,Mujer,34,Virgo,Profesor,23000.0,53000.0
468,Hombre,34,Picis,Ingeniero,50000.0,172000.0
469,Mujer,42,Sagitario,Economista,32000.0,68000.0
470,Hombre,36,Virgo,Programador,69000.0,198000.0
471,Hombre,41,Tauro,Profesor,89000.0,153000.0
472,Hombre,41,Picis,Contador,85000.0,168000.0
473,Hombre,44,Picis,Profesor,90000.0,184000.0
474,Hombre,33,Aries,Ingeniero,62000.0,171000.0
475,Hombre,41,Géminis,Estudiante,53000.0,121000.0
476,Hombre,35,Tauro,Maestro,96000.0,155000.0
